"tx_date","address","symbol","entryPrice","token_amount_received","TP_price_1","TP_price_2","amount_to_sell","PNL","value_USD"
"11-04-2024 22:17:25","31pLZpyChVMeSewvF9TDZRLFKPgZrkskGP75YRaSzFMp","LINKELN","0.000045375","66782.230642","0.000113437","0.000453750","46747.5614494","-8.33","2.78"
"2024-04-06T21:40:46.825Z","BSkz8QHwk1DaT3Dcf1L5vWsCRzgrfrLR3qYmwSt1rtUM","BITCAT","0.001031388","969.567334","0.002578470","0.010313880","678.7","-10.92","0.89"
"2024-04-10T02:45:32.182Z","4gfKcS3f3SKCd6YTmpo1znHvnXPLcwzr14JUdVDktafc","MRBEEZ","0.000009235","216558.041286399","","","151590.628900479","-11.05",""
"11-04-2024 16:42:36","E1bcNNEiyiTGYuxbNWMsd54tom5WhWXPA6Z1G1QfsQ8d","Totoro","0.000094149","31955.661906","0.000235372","0.000941490","22368.9633342","-11.73","2.66"
"11-04-2024 21:57:26","2mrsQSyZ8HYmr13n887iUzymGfnewPSugTkSVrQQRrDy","$SPEPE","0.000062974","47929.460433216","0.000157435","0.000629740","33550.622303251","-13.16","2.62"
"12-04-2024 07:27:20","zZRRHGndBuUsbn4VM47RuagdYt57hBbskQ2Ba6K5775","GREG","0.000099840","30411.229255","0.000249600","0.000998400","21287.8604785","-13.30","2.63"
"12-04-2024 09:04:16","3kDDEvQ6MxYZmgeJx5f6tyFxyQS6asmJMNwHvi8xfGba","$BRO ","0.000007748","391246.483614","0.000019370","0.000077480","273872.5385298","-15.06","2.57"
"2024-04-08T08:38:32.579Z","CtjCDgCeFJ5bC7QrLciNc4iehBDQ4AXev6jLwxhjA44s","CHEETO","0.000027760","72046.69357188","0.000069400","0.000277600","50432.69","-16.71","1.67"
"11-04-2024 10:02:51","6y56NYaUtKtjT5LKrVvZ3rsLnKyQ96phU3ckSARUkNax","puten","0.006445490","465.441709679","0.016113725","0.064454900","325.809196775","-16.93","2.49"
"12-04-2024 08:34:35","3xPRZ9egML5oR7LhSLPi6kdCfnp3imyb5HK9Br8YMuwZ","HWIFH","0.000682413","4436.36054","0.001706032","0.006824130","3105.452378","-17.64","2.49"
"2024-04-08T13:34:50.439Z","8u5eF12UyBUKd8MGek8dpMQaQLP4G6z5c8u6qcY58bqZ","DOODLES","0.000054604","36627.228269686","0.000136510","0.000546040","25639.06","-18.18","1.64"
"2024-04-08T11:13:00.794Z","JNv67DPPnRAKd8KHYddhbdz6qgvRBGspmbi76pzAMMv","UNDOGE","0.000048135","41550.077563","0.000120337","0.000481350","29085.05","-18.50","1.63"
"12-04-2024 02:50:19","7FsUzap4C7sHTnYBWHUDWFDACx1HgfTH3UsrU3c9a7kT","SlerfAi","0.000033595","90252.389651418","0.000083988","0.000335950","63176.672755993","-19.89","2.43"
"2024-04-08T15:28:39.130Z","13v9WK3r2JPgop4Rucp2mDiBMkPjZC3XSW3GnzWrvtst","Buu","0.002363148","846.328688","","0.023631480","592.43","-20.15","0.48"
"11-04-2024 19:11:42","9M2EcHTSqPi1nG7TJNJGXRUJ21NtsrJeyeZ9QprovV8v","DAKE","0.000010764","283316.299056245","0.000026910","0.000107640","198321.409339371","-21.32","2.40"
"11-04-2024 20:06:20","2SsU91ZE2dni5aD8i7bfTR4Bvf6UcGFBbLsvDucWUdw3","ket","0.000014672","208335.785160415","0.000036680","0.000146720","145835.04961229","-23.17","2.35"
"2024-04-09T23:42:03.930Z","6EwFYB2qnQbqrY7KVga4jmVND6fDp3TByBhiht2Y2xgb","$LOTUS","0.000123283","16222.873776","","","11356.01","-24.09",""
"12-04-2024 00:45:01","AasZUvU7orgshn1ZqhpbZQcqZgFG3RJEMHHj1zbHaHek","korn","0.001690139","1790.274796417","0.004225347","0.016901390","1253.192357492","-26.03","2.24"
"11-04-2024 03:45:13","9yD3cKGXeMwJaMFfAZPS5uCJ197d86GdGEoYz1HPbnLS","CLINTON","0.000000016","190004066.0086868","","","133002846.20608076","-28.62",""
"2024-04-07T15:13:56.092Z","EMF5TkJZgREnwwkrsGEgJuTXWyjFo135bC4fHp6vXMtk","OTTER","0.000060409","16553.699990099","0.000151022","0.000604090","11587.59","-30.26","0.70"
"11-04-2024 07:22:06","CrYCaVeEjGkEtTYV9R8KLTRvuaeKS27GMTbENodmh4tC","OLLIE","0.000072251","41521.757196","0.000180627","0.000722510","29065.2300372","-33.99","1.98"
"2024-04-08T05:41:45.012Z","5kx3accCXXKn6ECzY1YkfS1qWy6D3HdJyqN8y58BRvY4","RAMEN","0.000181543","11016.689279605","","","7711.68","-34.08",""
"2024-04-10T04:28:39.722Z","BC3hGPTFjEgyDibmNoum4TVQQxJv2sTt8SmGPNLoMuNK","ECLIPSAI","0.000000001","2888091729.7035","0.000000003","0.000000010","2021664210.7924497","-34.09","1.90"
"11-04-2024 16:45:58","8YyYz9ePDjatDHegaS3SabyTmiyVopKLtCTc9YGXx6HD","jurj","0.000081054","37143.202281941","","","26000.241597359","-34.22",""
"11-04-2024 18:45:48","romeXVvaTkwG3WVrFjdDjMn4Y6v1d6PUTJn76jSu6X8","$ROME","0.005853009","524.314992","0.014632522","0.058530090","367.0204944","-35.94","1.97"
"11-04-2024 16:19:00","HbzZ2UGpXGYWtro3gGPcno7WPs8sPRyAuz1F5kWnSXBV","PISCO","0.000014501","210454.256314","0.000036252","0.000145010","147317.9794198","-36.00","1.95"
"10-04-2024 21:26:39","HcsLXbiyaaA4vFtxjzf4KKCUTb5PEnnjR7xRpG9EFsKW","Catflix","0.000056635","52970.43824299","0.000141587","0.000566350","37079.306770093","-36.11","2.45"
"2024-04-08T20:22:17.477Z","D2oVMuxj5UC9XLzgkQgbsjT95qYHJxt243s7JTycBqcq","CATBELAM","0.000002332","857550.186057704","0.000005830","0.000023320","600285.13","-36.51","1.27"
"2024-04-07T18:50:26.250Z","C6ggTj11LYqH4oQr7oSo15HxD16K3HDqqizMbr73wC4E","MOMSBASE","0.000030953","32306.790757413","","","22614.75","-37.37",""
