timestamp,description
"07-04-2024 02:03:54","buy_all_from_filtered() starting now."
"07-04-2024 02:08:11","update_account_PNL() starting now."
"07-04-2024 02:08:26","buy_all_from_filtered() starting now."
"07-04-2024 02:09:28","update_account_PNL() starting now."
"07-04-2024 02:14:42","buy_all_from_filtered() starting now."
"07-04-2024 02:20:55","buy_all_from_filtered() starting now."
"07-04-2024 02:27:09","buy_all_from_filtered() starting now."
"07-04-2024 02:33:28","buy_all_from_filtered() starting now."
"07-04-2024 02:39:50","buy_all_from_filtered() starting now."
"07-04-2024 02:46:05","buy_all_from_filtered() starting now."
"07-04-2024 02:48:20","update_account_PNL() starting now."
"07-04-2024 02:52:37","buy_all_from_filtered() starting now."
07-04-24 04:06:42,dex_data_BOT_v2.py called
07-04-24 12:39:34,dex_data_BOT_v2.py called
07-04-24 12:39:50,dex_data_BOT_v2.py called
07-04-24 12:40:10,dex_data_BOT_v2.py called
"07-04-2024 12:41:14","update_account_PNL() starting now."
"07-04-2024 13:00:34","buy_all_from_filtered() starting now."
"07-04-2024 13:01:43","buy_all_from_filtered() starting now."
"07-04-2024 13:56:42","buy_all_from_filtered() starting now."
"07-04-2024 13:58:56","update_account_PNL() starting now."
07-04-24 14:00:18,dex_data_BOT_v2.py called
"07-04-2024 14:03:35","buy_all_from_filtered() starting now."
"07-04-2024 14:06:19","update_account_PNL() starting now."
"07-04-2024 14:10:38","buy_all_from_filtered() starting now."
"07-04-2024 14:11:40","update_account_PNL() starting now."
07-04-24 14:12:51,dex_data_BOT_v2.py called
"07-04-2024 14:17:43","update_account_PNL() starting now."
"07-04-2024 14:17:44","buy_all_from_filtered() starting now."
"07-04-2024 14:21:33","buy_all_from_filtered() starting now."
"07-04-2024 14:23:06","update_account_PNL() starting now."
"07-04-2024 14:23:33","buy_all_from_filtered() starting now."
"07-04-2024 14:24:33","buy_all_from_filtered() starting now."
"07-04-2024 14:25:41","buy_all_from_filtered() starting now."
07-04-24 14:27:35,dex_data_BOT_v2.py called
"07-04-2024 14:28:30","update_account_PNL() starting now."
"07-04-2024 14:33:53","update_account_PNL() starting now."
"07-04-2024 14:38:14","buy_all_from_filtered() starting now."
"07-04-2024 14:39:17","update_account_PNL() starting now."
"07-04-2024 14:39:35","buy_all_from_filtered() starting now."
"07-04-2024 14:40:21","buy_all_from_filtered() starting now."
"07-04-2024 14:44:40","update_account_PNL() starting now."
"07-04-2024 14:45:07","update_account_PNL() starting now."
07-04-24 14:45:29,dex_data_BOT_v2.py called
"07-04-2024 14:46:04","update_account_PNL() starting now."
"07-04-2024 14:46:25","buy_all_from_filtered() starting now."
"07-04-2024 14:47:01","update_account_PNL() starting now."
"07-04-2024 14:47:59","update_account_PNL() starting now."
